reference_number,driving_dircetion_to_well,date_completed,well_use,drilling_method,pump_type,depth,pump_setting_depth,water_quality,casing_length,casing_mateiral,casing_diameter,screen_length,screen_material,screen_diameter,slot_size,type_of_test,test_rate,bail_test_rate,drawdown,static_water_level,bailer_drawdown,material,depth_2,installation_method,number_of_bags_used,sealing_material,well_abandonment_depth,installation_method_2,number_of_bags_used_2,county,township,range,section,topo_map,grant,field_located_by,field_located_on,courthouse_location_by,courthouse_location_on,location_accepted_verification_by,location_accepted_verification_on,subdivision_name,lot_number,ft_w_of_el,ft_n_of_sl,ft_e_of_wl,ft_s_of_nl,ground_elevation,depth_of_bedrock,bedrock_elevation,aquifer_elevation,utm_easting,utm_northing
42893,ON 100W BETWEEN 450N AND 500N,2/15/1993,Home,Rotary,Submersible,154.0,51.0,CLEAR,89.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,25.0 gpm,Not available,Not available,21.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,9.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,,NW of the NW of Section 9,DECATUR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42894,ON 400W BETWEEN 700S AND SK218,6/2/1993,Home,Rotary,Submersible,70.0,47.0,CLEAR,60.0,PVC,5.0,10.0,PVC,5.0,30,Air,75.0 gpm,Not available,Not available,15.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,6.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,25N,,SE of the NE of Section 2,LINN GROVE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42898,S. SIDE OF 100N .2 M. E. OF 200E,11/23/1993,Home,Rotary,Not available,81.0,Not available,CLEAR,34.0,PVC,5.5,Not available,Not available,Not available,Not available,Air,65.0 gpm for 1.0 hrs.,Not available,10.0 ft.,17.0 ft.,Not available,ENVIROGROUT,From (not available)  To (not available),Not available,3.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,,NW of the NW of Section 36,DECATUR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42899,300E N OF 224E 2ND PLACE W SIDE OF RD N OF 1000N,5/6/1991,Home,Rotary,Submersible,210.0,55.0,CLEAR,80.0,PVC,5.0,Not available,Not available,Not available,Not available,Pumping,20.0 gpm for 8.0 hrs.,Not available,Not available,35.0 ft.,Not available,VOLCLAY,From 0 To 8,POUR,1.0,HOLEPLUG,From 0 To 8,POUR,6.0,ADAMS,28N,,SE of Section 12,HOAGLAND,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42903,ON 100W BETWEEN 450N AND 500N.,11/18/1993,Home,Rotary,Submersible,144.0,50.0,CLEAR,98.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,25.0 gpm,Not available,Not available,20.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,9.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,,SW of the NW of Section 9,DECATUR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42908,ON 200W BETWEEN 100N AND SR 124,10/26/1993,Home,Rotary,Submersible,124.0,57.0,CLEAR,73.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,25.0 gpm,Not available,Not available,28.0 ft.,Not available,BNSL,From 0 To 70,HAND,6.0,HOLEPLUG,From 0 To 70,HAND,5.0,ADAMS,27N,,NE of the SE of Section 31,DECATUR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42913,E SIDE OF 500W BETWEEN 300N & 400N,9/10/1992,Home,Rotary,Not available,81.0,Not available,CLEAR,63.0,PVC,5.5,Not available,Not available,Not available,Not available,Air,25.0 gpm for 1.0 hrs.,Not available,20.0 ft.,31.0 ft.,Not available,BNSL EZ MUD,From (not available)  To (not available),Not available,2.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,,SE of the NE of Section 14,PREBLE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42918,W SIDE OF 600W 2 M. N OF SR 124 1ST PLACE N OF 200N,8/9/1993,Home,Rotary,Not available,110.0,Not available,CLOUDY,67.0,PVC,5.5,Not available,Not available,Not available,Not available,Air,50.0 gpm for 1.0 hrs.,Not available,10.0 ft.,36.0 ft.,Not available,BNSL EZ MUD,From (not available)  To (not available),Not available,2.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,,SE of the SE of Section 21,PREBLE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42923,CORNER 500W AND 100N,10/27/1993,Home,Rotary,Submersible,184.0,82.0,CLEAR,70.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,24.0 gpm,Not available,Not available,30.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,6.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,,SW of the SW of the SW of Section 26,PREBLE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42928,CORNER OF SR 116 AND 150E,5/22/1993,Home,Rotary,Submersible,104.0,51.0,CLEAR,57.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,30.0 gpm,Not available,Not available,31.0 ft.,Not available,BNSL,From 0 To 50,HAND,5.0,HOLEPLUG,From 0 To 50,HAND,5.0,ADAMS,25N,,NE of the NE of the NW of Section 35,GENEVA,Not available,INGMIRE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"2,620.0",50.0,853.0,55.0,798.0,Not available,677152,4494661
42933,ON 700S .5 E OF SR 27,8/24/1991,Home,Rotary,Submersible,224.0,84.0,CLEAR,179.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,25.0 gpm,Not available,Not available,50.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,8.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,25N,,NE of the NE of the NW of Section 9,BERNE,Not available,INGMIRE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"2,000.0",400.0,846.0,175.0,671.0,Not available,673569,4500840
42938,ON 100E .25 M N. OF 218,7/10/1992,Home,Rotary,Submersible,140.0,Not available,CLEAR,113.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,35.0 gpm,Not available,Not available,42.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,8.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,26N,,NW of the SW of the SW of Section 35,BERNE,Not available,INGMIRE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,975.0,150.0,Not available,842.0,110.0,732.0,Not available,676099,4502990
42943,ON 200S BETWEEN SR 27 AND 200 W,11/13/1993,Home,Rotary,Not available,85.0,62.0,CLEAR,80.0,PVC,5.0,5.0,PVC,5.0,30,Air,30.0 gpm,Not available,Not available,42.0 ft.,Not available,BNSL,From 0 To 70,HAND,6.0,HOLE PLUG,From 0 To 70,HAND,4.0,ADAMS,26N,,SE of the SW of the SW of Section 8,BERNE,Not available,INGMIRE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,100.0,"1,100.0",Not available,844.0,Not available,Not available,759.0,671379,4509007
42948,"SR 116 W. OF GENEVA TO 400W, N. ON 400W TO 750S, E ON 750S TO 1ST. PLACE ON L. UP LON LN.",1/24/1994,Home,Rotary,Not available,70.0,Not available,CLEAR,27.0,PVC,Not available,Not available,Not available,Not available,27,Air,35.0 gpm for 1.0 hrs.,Not available,10.0 ft.,18.0 ft.,Not available,BNSL EZ MUD,From (not available)  To (not available),Not available,1.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,25N,,SE of the NW of Section 7,BERNE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
