reference_number,driving_dircetion_to_well,date_completed,well_use,drilling_method,pump_type,depth,pump_setting_depth,water_quality,casing_length,casing_mateiral,casing_diameter,screen_length,screen_material,screen_diameter,slot_size,type_of_test,test_rate,bail_test_rate,drawdown,static_water_level,bailer_drawdown,material,depth_2,installation_method,number_of_bags_used,sealing_material,well_abandonment_depth,installation_method_2,number_of_bags_used_2,county,township,range,section,topo_map,grant,field_located_by,field_located_on,courthouse_location_by,courthouse_location_on,location_accepted_verification_by,location_accepted_verification_on,subdivision_name,lot_number,ft_w_of_el,ft_n_of_sl,ft_e_of_wl,ft_s_of_nl,ground_elevation,depth_of_bedrock,bedrock_elevation,aquifer_elevation,utm_easting,utm_northing
42888,ON 450 N. BETWEEN 300W AND 200W.,3/2/1993,Home,Rotary,Submersible,73.0,55.0,CLEAR,68.0,PVC,5.0,5.0,PVC,5.0,30,Air,60.0 gpm,Not available,Not available,30.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,7.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,14E,NE of the NE of the SW of Section 7,DECATUR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42889,ON 450N BETWEEN SR 101 AND PRIA RD.,5/15/1993,Home,Rotary,Submersible,164.0,68.0,CLEAR,85.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,25.0 gpm,Not available,Not available,38.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,6.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,15E,SW of Section 8,"WREN, IN-OH",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42893,ON 100W BETWEEN 450N AND 500N,2/15/1993,Home,Rotary,Submersible,154.0,51.0,CLEAR,89.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,25.0 gpm,Not available,Not available,21.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,9.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,14E,NW of the NW of Section 9,DECATUR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42894,ON 400W BETWEEN 700S AND SK218,6/2/1993,Home,Rotary,Submersible,70.0,47.0,CLEAR,60.0,PVC,5.0,10.0,PVC,5.0,30,Air,75.0 gpm,Not available,Not available,15.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,6.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,25N,13E,SE of the NE of Section 2,LINN GROVE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42898,S. SIDE OF 100N .2 M. E. OF 200E,11/23/1993,Home,Rotary,Not available,81.0,Not available,CLEAR,34.0,PVC,5.5,Not available,Not available,Not available,Not available,Air,65.0 gpm for 1.0 hrs.,Not available,10.0 ft.,17.0 ft.,Not available,ENVIROGROUT,From (not available)  To (not available),Not available,3.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,14E,NW of the NW of Section 36,DECATUR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42899,300E N OF 224E 2ND PLACE W SIDE OF RD N OF 1000N,5/6/1991,Home,Rotary,Submersible,210.0,55.0,CLEAR,80.0,PVC,5.0,Not available,Not available,Not available,Not available,Pumping,20.0 gpm for 8.0 hrs.,Not available,Not available,35.0 ft.,Not available,VOLCLAY,From 0 To 8,POUR,1.0,HOLEPLUG,From 0 To 8,POUR,6.0,ADAMS,28N,14E,SE of Section 12,HOAGLAND,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42903,ON 100W BETWEEN 450N AND 500N.,11/18/1993,Home,Rotary,Submersible,144.0,50.0,CLEAR,98.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,25.0 gpm,Not available,Not available,20.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,9.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,14E,SW of the NW of Section 9,DECATUR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42908,ON 200W BETWEEN 100N AND SR 124,10/26/1993,Home,Rotary,Submersible,124.0,57.0,CLEAR,73.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,25.0 gpm,Not available,Not available,28.0 ft.,Not available,BNSL,From 0 To 70,HAND,6.0,HOLEPLUG,From 0 To 70,HAND,5.0,ADAMS,27N,14E,NE of the SE of Section 31,DECATUR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42913,E SIDE OF 500W BETWEEN 300N & 400N,9/10/1992,Home,Rotary,Not available,81.0,Not available,CLEAR,63.0,PVC,5.5,Not available,Not available,Not available,Not available,Air,25.0 gpm for 1.0 hrs.,Not available,20.0 ft.,31.0 ft.,Not available,BNSL EZ MUD,From (not available)  To (not available),Not available,2.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,13E,SE of the NE of Section 14,PREBLE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42918,W SIDE OF 600W 2 M. N OF SR 124 1ST PLACE N OF 200N,8/9/1993,Home,Rotary,Not available,110.0,Not available,CLOUDY,67.0,PVC,5.5,Not available,Not available,Not available,Not available,Air,50.0 gpm for 1.0 hrs.,Not available,10.0 ft.,36.0 ft.,Not available,BNSL EZ MUD,From (not available)  To (not available),Not available,2.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,13E,SE of the SE of Section 21,PREBLE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42923,CORNER 500W AND 100N,10/27/1993,Home,Rotary,Submersible,184.0,82.0,CLEAR,70.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,24.0 gpm,Not available,Not available,30.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,6.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,13E,SW of the SW of the SW of Section 26,PREBLE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42928,CORNER OF SR 116 AND 150E,5/22/1993,Home,Rotary,Submersible,104.0,51.0,CLEAR,57.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,30.0 gpm,Not available,Not available,31.0 ft.,Not available,BNSL,From 0 To 50,HAND,5.0,HOLEPLUG,From 0 To 50,HAND,5.0,ADAMS,25N,14E,NE of the NE of the NW of Section 35,GENEVA,Not available,INGMIRE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"2,620.0",50.0,853.0,55.0,798.0,Not available,677152,4494661
42933,ON 700S .5 E OF SR 27,8/24/1991,Home,Rotary,Submersible,224.0,84.0,CLEAR,179.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,25.0 gpm,Not available,Not available,50.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,8.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,25N,14E,NE of the NE of the NW of Section 9,BERNE,Not available,INGMIRE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"2,000.0",400.0,846.0,175.0,671.0,Not available,673569,4500840
42938,ON 100E .25 M N. OF 218,7/10/1992,Home,Rotary,Submersible,140.0,Not available,CLEAR,113.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,35.0 gpm,Not available,Not available,42.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,8.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,26N,14E,NW of the SW of the SW of Section 35,BERNE,Not available,INGMIRE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,975.0,150.0,Not available,842.0,110.0,732.0,Not available,676099,4502990
42943,ON 200S BETWEEN SR 27 AND 200 W,11/13/1993,Home,Rotary,Not available,85.0,62.0,CLEAR,80.0,PVC,5.0,5.0,PVC,5.0,30,Air,30.0 gpm,Not available,Not available,42.0 ft.,Not available,BNSL,From 0 To 70,HAND,6.0,HOLE PLUG,From 0 To 70,HAND,4.0,ADAMS,26N,14E,SE of the SW of the SW of Section 8,BERNE,Not available,INGMIRE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,100.0,"1,100.0",Not available,844.0,Not available,Not available,759.0,671379,4509007
42948,"SR 116 W. OF GENEVA TO 400W, N. ON 400W TO 750S, E ON 750S TO 1ST. PLACE ON L. UP LON LN.",1/24/1994,Home,Rotary,Not available,70.0,Not available,CLEAR,27.0,PVC,Not available,Not available,Not available,Not available,27,Air,35.0 gpm for 1.0 hrs.,Not available,10.0 ft.,18.0 ft.,Not available,BNSL EZ MUD,From (not available)  To (not available),Not available,1.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,25N,14E,SE of the NW of Section 7,BERNE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42953,"SR 27 N OF DECATUR TO OAKRIDGE EST TRAILERS, RT. ON 1100N 3RD. PALCE LT.",8/18/1992,Home,Rotary,Not available,64.0,Not available,CLEAR,59.0,PVC,5.5,5.0,PVC,5.5,.051,Air,40.0 gpm for 1.0 hrs.,Not available,20.0 ft.,29.0 ft.,Not available,BNSL EZ MUD,From (not available)  To (not available),Not available,2.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,28N,14E,NE of the NW of the NW of Section 7,HOAGLAND,Not available,Not available,Not available,Not available,Not available,Not available,Not available,OAK RIDGE EST,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42958,SR 27 N OF DECATUR TO 900N E APPROX. .5 M TO ROE DR. S ON ROE TO END OF ST E SIDE,7/31/1992,Home,Rotary,Not available,128.0,Not available,Not available,124.0,PVC,5.5,4.0,PVC,5.5,051,Air,50.0 gpm for 5.0 hrs.,Not available,20.0 ft.,40.0 ft.,Not available,ENVIROGROUT,From (not available)  To (not available),Not available,3.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,28N,14E,NE of Section 21,HOAGLAND,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42963,US 27 N OF DECATUR TO 200W  3RD HOUSE E SIDE OF 200E  N OF SUNNYBROOK ADD'T .25 M. OFF US 27,5/17/1991,Home,Rotary,Submersible,115.0,50.0,CLEAR,80.0,PVC,5.0,Not available,Not available,Not available,Not available,Pumping,20.0 gpm for 3.0 hrs.,Not available,Not available,25.0 ft.,Not available,VOLCLAY,From (not available)  To (not available),Not available,1.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,28N,14E,NW of the SW of Section 8,HOAGLAND,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42968,ON 200W BETWEEN 1100 N AND 1200N,11/13/1993,Home,Rotary,Submersible,89.0,72.0,CLEAR,84.0,PVC,5.0,5.0,PVC,5.0,30,Air,35.0 gpm,Not available,Not available,42.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,7.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,28N,14E,NW of the NW of Section 5,HOAGLAND,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42973,ON 100W BETWEEN 1000N AND 1100N,8/11/1993,Home,Rotary,Submersible,184.0,102.0,CLEAR,153.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,30.0 gpm,Not available,Not available,70.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,12.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,28N,14E,NW of the NW of the SW of Section 9,HOAGLAND,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42978,"NW DECATUR ON US 27 TO 200W, N 3/8 M E SIDE",8/20/1993,Home,Rotary,Not available,246.0,Not available,CLEAR,85.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,80.0 gpm for 3.0 hrs.,Not available,16.0 ft.,40.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,3.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,28N,14E,NW of the SW of Section 8,HOAGLAND,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42983,ON SR 224 BETWEEN 200E & 300E,12/21/1993,Home,Rotary,Not available,164.0,77.0,CLEAR,67.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,27.0 gpm,Not available,Not available,45.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,6.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,28N,14E,SW of the NW of Section 30,DECATUR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42988,ON 650 N. BETWEEN 200 W. AND 300W,12/27/1993,Home,Rotary,Submersible,130.0,57.0,CLEAR,79.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,75.0 gpm,Not available,Not available,29.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,7.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,27N,14E,NE of the NE of Section 6,DECATUR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
42993,2950 WEST & 1100N  HWY 27 TO MINNICH RD 1100N TURN OFF TURN E 0N 1100  GO .5 M TO EMPTY LOT OW S SIDE OF RD OVER BEHIND TRAILER PARK,10/22/1992,Not available,Rotary,Submersible,398.0,160.0,CLEAR,53.0,PVC,5.0,Not available,Not available,Not available,Not available,Pumping,75.0 gpm for 3.0 hrs.,Not available,147.0 ft.,12.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,4.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,28N,14E,SW of the SW of Section 8,HOAGLAND,Not available,Not available,Not available,Not available,Not available,Not available,Not available,OAKRIDGE,5,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
65889,CORNER OF 330S AND 000,2/24/1994,Home,Rotary,Not available,144.0,65.0,CLEAR,107.0,PVC,5.0,Not available,Not available,Not available,Not available,Air,20.0 gpm,Not available,Not available,34.0 ft.,Not available,BNSL,From (not available)  To (not available),Not available,9.0,Not available,From (not available)  To (not available),Not available,Not available,ADAMS,26N,14E,SW of the SW of the SW of Section 15,BERNE,Not available,INGMIRE,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,100.0,150.0,Not available,835.0,102.0,733.0,Not available,674364,4507557
