CompanyName,FirstName,LastName,City,State,WebSite
Vicki Clark,Corona,Del,,,
"625 Management, LLC",Julie,Bowyer,San Francisco,CA,
Activated Insights,Jacquelyn,Kung,,,activatedinsights.com
"ACTS Retirement-Life Communities, Inc.",Gerald,Grant,West Point,PA,actsretirement.org
Alcore Senior LLC,Benjamin,Byers,Columbus,OH,www.laneparkhuber.com
Alden Realty Services Inc,Randi,Schlossberg-Schullo,Chicago,IL,thealdennetwork.com
Alliance Residential Company,Dale,Boyles,Escondido,CA,www.allresco.com
"Ambrose Urban Capital Group, Inc.",Chris,Urban,San Diego,CA,www.ambrosecapital.com
American Eagle Lifecare Corporation,Scott,Kellman,Ann Arbor,MI,
Americare Senior Living,Clay,Crosson,Sikeston,MO,www.americareusa.net
"Angelo, Gordon & Co.",Michael,Chang,New York,NY,www.angelogordon.com
"Arbor Company, The",Judd,Harper,,,
"ARCH Consultants, Ltd.",Frank,Muraca,Lincolnshire,IL,www.archltd.com
ARCO Living Group,Drew,Blaylock,,,www.arconational.com
Atlantic Shores Cooperative Association,Eden,,Virginia Beach,VA,www.atlanticshores.com
Avamere Health Services,Gary,Wart,,,
Avana Capital,Sanat,Patel,,,
Avanti Senior Living,Tim,Hekker,The Woodlands,TX,www.avanti-sl.com
Avison Young,Dan,Baker,Washington,DC,http://www.avisonyoung.com
Avista Senior Living,Kristopher,Woolley,Mesa,AZ,www.avistaseniorliving.com
BA Resources LLC,Elias,Papasavvas,McLean,VA,
Bank of America Merrill Lynch,Gray,,New York,NY,www.bankofamerica.com
BCT Architects,Janet,Reynolds,Baltimore,MD,www.bctarchitects.com
Berman Enterprises.com,Benjamin,Berman,,,
Beztak,Adam,Snyder,Livonia,MI,
"Blossom Collection, The",Kelly,,,,moceri.com
Bozzuto Construction Company,Kelly,Cantley,Greenbelt,MD,www.bozzuto.com
"Brecht Associates, Inc.",Susan B,Brecht,Pine Beach,NJ,www.brechtassociates.com
Bridge Partners,Julie,Gutzwiller,,,www.bridgepartners.com
BridgeForth Capital LLC,Howard,Cohen,,,www.bridgeforthcapital.com
C.C. Hodgson Architectural Group,Cornelia,Hodgson,Beachwood,OH,
CA Senior Living,John,,,,
