CompanyName,FirstName,LastName,City,State,WebSite
Caddis,Katie,Kleinsmith,,,www.caddis.com
Cambridge Healthcare Management LLC,Graham,Adelman,Richmond,VA,www.cambridgehealth-care.com/management
Cambridge Swinerton Builders,Jane,Walker,Atlanta,GA,www.cambswin.com
Capital Group,Andrew,Dialynas,,,
Cappella Living Solutions,Camille,Burke,Greenwood Village,CO,
Carefield Senior Living,Steven,,Solana Beach,CA,www.solanacompany.com
"Caring Communities Shared Services, Ltd",G,James Caldwell,Libertyville,IL,www.caringcomm.com
Carlton Senior Living LLC,David,Coluzzi,Concord,CA,www.carltonseniorliving.com
Carlyn and Company,JoAnn,McInnis,,,www.carlynco.com
"Cascade Living Group, Inc.",Thomas E,Stanley,Bothell,WA,www.cascadeliving.com
CBRE,Nathan,Sorensen,,,www.cbre.us/assessment
Cedarwood Development Inc.,Laura,Hester,Shelby Township,MI,www.cedarwooddevelopment.com
"Cerulean Partners, LLC",Rick,Shamberg,,,
Charles Hall Construction LLC,Charles,"Hall,",Westmont,IL,www.hallmanagement.com
Charles Herman Consulting,Charles,Herman,,,charleshermanconsulting.com
Chesapeake Contracting Group,Daniel,Hannon,,,www.ccgmd.com
Chicago Title,Chris,Miller,Newport Beach,CA,
"Christenson Advisors, LLC",Jonathan A,Boba,Oakbrook Terrace,IL,www.christensonadvisors.com
CoastalStates Bank,Donald,Hooper,,,www.coastalstatesbank.com
Commonwealth Senior Living,Richard,Brewer,Charlottesville,VA,www.commonwealthal.com
Commonwealth Title,Kip,Ralston,Newport Beach,CA,
Contractors Incorporated,Brian,,Hutto,TX,www.contractorsinc.com
Cornerstone Senior Living,Joshua,Buller,,,www.cornerstoneseniorlivingllc.com
Credit Suisse,Auren,Kule,,,
Crow Holdings Capital Partners,MICHAEL,HOY,,,
D2 Architecture LLC,David A,Dillard,Dallas,TX,www.d2-architecture.com
"davisREED Construction, Inc.",Lee,Conant,,,www.davisreedinc.com
"Dial Communities, Inc.",Joel M,Katleman,San Antonio,TX,
Dixon Hughes Goodman LLP,Keith,Seeloff,Atlanta,GA,www.dhgllp.com/seniorliving
Dominion Partners,Dave,Rodgers,,,
"Duff & Phelps, LLC",Laca,Wong,New York,NY,
Elderlife Financial Services,Darryl,Copeland,Derwood,MD,www.elderlifefinancial.com
EMG,Chris,Berrich,Owings Mills,MD,
ERDMAN,Mark,Jones,Madison,WI,www.erdman.com
"Evangelical Lutheran Good Samaritan Society, The",Dustin,Scholz,Sioux Falls,SD,www.good-sam.com
Focus Healthcare Partners LLC,Curt,Schaller,Chicago,IL,
FPL Advisory Group,William J,Ferguson,Chicago,IL,www.fergusonpartners.com
Freedom Senior Management,Steven D,Roskamp,Sarasota,FL,www.freedomsenior.com
Frontline Management,Steven,Veluscek,Lafayette,CO,www.frontlinemgmt.com
Gardant Management Solutions,Rod,Burkett,Bradley,IL,www.bma-mgmt.com
"Gencare, Inc.",Leon,Grundstein,Seattle,WA,
"Generations, LLC",Chip,Gabriel,Portland,OR,www.generationsllc.com
GlenAire HealthCare LLC,James P,Bowe,Bloomfield Hills,MI,
GMF CAPITAL,Frank,Small,,,www.gmfcapital.com
"Goodman Group, The",Timothy,Getty,Chaska,MN,thegoodmangroup.com
Great Lakes Management Company,Michael B,Pagh,Minneapolis,MN,www.greatlakesmc.com
Green Street Advisors,Michael,Knott,Newport Beach,CA,greenstreetadvisors.com
"Greenbrier Development, LLC",Mike,Gilliam,Dallas,TX,www.greenbrierdevelopment.com
Harborview Capital Partners,Jonathan,Kutner,,,
Heitman,Jeffrey,Yurk,,,
HHHunt Properties,Richard,Williams,Raliegh,NC,www.hhhunt.com
Highgate Senior Living,Marjorie,Todd,Bellevue,WA,www.highgateseniorliving.com
Hord Coplan Macht,Duncan,Walker,Baltimore,MD,www.hcm2.com
Housing & Healthcare Finance,Charles,Dabich,Chevy Chase,MD,www.hhcfinance.com
Howard & Associates,Evelyn R,Howard,Bethesda,MD,www.ehowardassoc.com
HUD Capital Advisors,James,Schnieder,,,
Immanuel,Eric N,Gurley,Omaha,NE,www.immanuelcommunities.com
Integral Senior Living LLC,Tracee,DeGrande,Carlsbad,CA,www.islllc.com
Inter-American Management LLC,Paula,Poskon,,,
"Irving Levin Associates, Inc.",Stephen M,Monroe,Norwalk,CT,www.levinassociates.com
Irwin Partners Architects,Gregory R,Irwin,Costa Mesa,CA,www.ipaoc.com
Jackson Property Company,S,Douglas,Kennedale,TX,
JMC PLLC,Anthony,Nester,,,www.johnmeyerconsulting.com
Kaplan Development Group,Raymond,DioGuardi,Jericho,NY,www.kapdev.com
KIRCO,Dean,Kiriluk,,,
Kleger Associates,Barbara,Kleger,Philadelphia,PA,www.klegerassociates.com
Lane Powell PC,Barbara J,Duffy,Seattle,WA,www.lanepowell.com
"Lantz-Boggio Architects, PC",Dennis R,Boggio,Englewood,CO,www.lantz-boggio.com
Levi +Wong Design Associates,Tom,,Concord,MA,www.lwda.com
"Littler Mendelson, P.C.",Jeffrey T,Harrison,Minneapolis,MN,www.littler.com
Lloyd Jones Capital,Chris,Finlay,,,
"Longview Senior Housing Advisors, LLC",Thilo,Best,,,
M&T Bank,Sharon,OBrien,Washington,DC,www.mandtbank.com
M3 Capital Partners,Thaddeus R,Wilson,Chicago,IL,www.m3cp.com
Marcus & Millichap,Rob,Reis,,,
MB Financial,Michael,Kinnick,,,
"McNeil Street, LLC",Philip,Brooks,Richmond,VA,
Methodist ElderCare Services,Bob,Wehner,Columbus,OH,methodisteldercare.com
Meyer Senior Living Studio,George,Wilson,,,www.meyerseniorliving.com
"Milestone Retirement Communities, LLC",Paul W,Dendy,Vancouver,WA,www.milestoneretirement.com
Mission Senior Living,Darryl,Fisher,Carson City,NV,www.missionseniorliving.net
Monarch Senior Living Inc,Frank,Haffner,Irvine,CA,www.asl.cc
Mosaic Design Studio,Greg,Cini,Columbus,OH,www.mosaicdesignstudio.com
Moss & Associates,Alberto,Miranda,Fort Lauderdale,FL,
Mr.,Joe,Anderson,,,
Mutual of Omaha Bank,Kevin,Halloran,Scottsdale,AZ,mutualofomahabank.com
National Church Residences,Tanya,Hahn,Columbus,OH,
New Perspective Senior Living,Todd,Novaczyk,,,
NORR Architects,Richard,Mann,Chicago,IL,www.norr.com
NorSouth Development,David,Dixon,,,
North American Senior Living,Thomas,,Medford,OR,www.northamericanseniorliving.com
OceanView@Falmouth / Sea Coast Inc.,John B,Wasileski,Falmouth,ME,
Och-Ziff Real Estate,Nicole,Sermier,,,
Oppidan Investment Company,Shannon,Rusk,,,www.oppidan.com
Orcutt Winslow,Neil,Terry,,,www.owp.com
"Pacific Retirement Services, Inc.",Brian,McLemore,Medford,OR,www.retirement.org
Pacifica Companies,Adam,Bandel,San Diego,CA,www.pacificaseniorliving.com
Palo Alto Commons,Sue,,Palo Alto,CA,www.paloaltocommons.com
Paradigm Senior Living,Lee E,Cory,Portland,OR,www.psliving.com
Patriot Angels,Suzette,Graham,Hendersonville,TN,www.angelsconsultinggroup.com
Peninsula Alternative Real Estate,JUAN,FERNANDO,,,
Perkins Eastman Architects,Lori,Miller,Pittsburgh,PA,www.perkinseastman.com
Pillar,Joshua,Hausfeld,Bethesda,MD,www.pillarfinance.com
"PMD Advisory Services, LLC",Michael,Starke,Hebron,KY,www.pmdas.com
Powell Homes,Jan,Wieder,,,
PRDG,Paul,Donaldson,Dallas,TX,www.prdgarch.com
"Premier Coaching & Training, Inc.",Luke,Fannon,,,www.pctmarketing.com
"Premier Senior Living, LLC",Wayne,Kaplan,New York,NY,www.pslgroupllc.com
Presbyterian Senior Living,James,Bernardo,,,www.presbyterianseniorliving.org
Prestige Senior Living,Jason,Delamarter,Vancouver,WA,www.prestigecare.com
Prevarian Senior Living,Dodd,Crutcher,Dallas,TX,www.prevarian.com
Pridgen Development,Grady,Pridgen,,,
Prime Care Properties,Jay L,Hicks,Indianapolis,IN,www.pcproperties.com
Primrose Retirement Communities,Brian,Morgan,,,www.primroseretirement.com
"PRN Capital, LLC",Lawrence,Katz,,,www.prncapital.com
Propel Insurance,Michael,Ferreira,,,"Tacoma, WA"
Providence Life Services,Richard,Schutt,Tinley Park,IL,www.providencelifeservices.com
Quadriga Partners,Aaron,Osmundson,Denver,CO,www.quadrigapartners.com
RBC Capital Markets Corporation,Frank,Morgan,Nashville,TN,www.rbccm.com
REDMARK,Harvey,Singer,Williamsburg,VA,
Resort Lifestyle Communities,Breck C,Collingsworth,Lincoln,NE,www.rlcommunities.com
Retirement Community Specialists,Eric,Johnston,Phoenix,AZ,www.rcsmgt.com
"Retirement Companies of America, LLC",Charles S,Trammell,Memphis,TN,
Retirement Housing Foundation,Laverne R,Joseph,Long Beach,CA,
"Revenue Leverage, LLC",Jack,McCarthy,,,www.revenueleverage.com
Ridgeline Management Company,LisaAnn,Shelton,,,www.ridgelinemc.com
"Riverwood Retirement Management, Inc.",Jerry C,Jaques,Orange City,FL,www.riverwoodmgmt.com
RLPS Architects,Kathleen,Goff,Lancaster,PA,www.rlps.com
Robust Retirement,Jerry,Doctrow,,,
Rosemark Development Group,Mark,Cytrynbaum,Denver,CO,www.rosemarkdevgroup.com
"Ryan Companies US, Inc.",Daniel,Walsh,,,www.ryancompanies.com
"SAK Management Services, LLC",Suzanne,Koenig,,,
Samaritan Village,Dan,Aguilar,Hughson,CA,
Sanders Rehaster Sternshein & Harvey,Jennifer,Sternshein,,,www.srshhealthlaw.com
"Seasons Managment, LLC",Eric,Jacobsen,Lake Oswego,OR,www.seasonsmanagement.com
Senior Housing Analytics LLC,Philip J,Downey,Washington,DC,www.senioranalytics.com
"Senior Living Valuation Services, Inc.",Michael G,Boehm,San Francisco,CA,www.slvsinc.com
Senior Resources of the West,Kevin,Gerber,Walnut Creek,CA,www.jtm-esc.org
Seniors Housing Business/France Media,Richard,Kelley,Harrison,NY,www.francmediainc.com
Sentio Investments,John,Mark,Orlando,FL,www.sentioinvestments.com
Shawnee Advisors,Jeffrey,Pollock,,,
Shelbourne Healthcare Development Group,Joseph,Fox,Radnor,PA,www.formationshelbourne.com
Signature Senior Living,Steven L,Vick,Irving,TX,www.signatureseniorliving.com
Silverstone Healthcare Company,Barbara,Grimm,,,www.silverstonehc.com
Singh Senior Living,Steven,Tyshka,West Bloomfield,MI,www.singhweb.com
"SL Residential, Inc.",Greg,Sadick,Irvine,CA,www.snyderlangston.com
Solera Senior Living,Adam,Kaplan,,,
Solid Rock Group,Sebastian,Paquette,,,
Sonata Senior Living,Stuart,Beebe,Orlando,FL,www.sonatahc.com
Sound Health Hawaii,Rick,Skelton,Honolulu,HI,
SpawGlass Construction Corporation,Joe,Mendyk,Houston,TX,www.spawglass.com
Springpoint Senior Living,Gary T,Puma,Wall Township,NJ,www.springpointsl.org
"Springs Living, The",F,"Fee  Stubblefield, Jr",McMinnville,OR,www.thespringsliving.com
St. Barnabas Health System,James D,Turco,Gibsonia,PA,www.stbarnabashealthsystem.com
Stephens Inc.,Dana,Hambly,Nashville,TN,www.stephens.com
studioSIX5,Dean,Maddalena,,,www.studiosix5.com
"Summit Healthcare REIT, Inc.",Kent,Eikanas,Lake Forest,CA,www.summithealthcarereit.com
"Summit Senior Living, LLC",Frank J,Nigro III,Albany,NY,
Survey/Lakewood Senior,Cissy,Brockman,,,
Sweetbay Senior Living,Denise,Pampena,,,
"Symerica Senior Living, LP",Lisa M,Brush,Toronto,ON CANADA,www.symphonyseniorliving.com
Synovus Financial Corporation,Sarah,Duggan,Birmingham,AL,www.synovus.com
TD Bank,Linda,Walker,West Palm Beach,FL,www.tdbank.com
Texas Capital Bank,Matt,Miller,Dallas,TX,www.texascapitalbank.com
The Douglas Company,Bob,Ritter,,,douglascompany.com
The Hill at Whitemarsh,Judy,McGruther,,,
The LaSalle Group,John,Barbee,,,
"Thoma-Holec Design, LLC",LuAnn,Thoma-Holec,,,http://thoma-holecdesign.com/
three Architecture,Rockland,Berg,,,www.threearch.com
Thrive FP,Anthony,Fulco,,,
Thrive Senior Living,Jeramy,Ragsdale,Atlanta,GA,www.410group.com
THW Design,Ken,Baker,Atlanta,GA,www.thw.com
Titan Senior Living,Julie,Ferguson,Albuquerque,NM,www.titanseniorliving.com
Titan SenQuest,Douglas,,Manhattan Beach,CA,www.titansenquest.com
Touchmark,Marcus,Breuer,,,
"Tradition Senior Living, LP",Jonathan,Perlman,Dallas,TX,www.traditionseniorliving.com
Trammell Crow,Cheri,Clarke,,,trammellcrow.com
Triloma Senior Housing,James,Hendrix,,,www.triloma.com
"Turtle Creek Management, Inc.",Blake,Jackson,Indianapolis,IN,
UMBC Aging/The Erickson School,Kevin D,Heffner,Catonsville,MD,www.umbc.edu/erickson
Unified Property Group,Steve,Falcone,Brighton,MI,www.unifiedpropertygroup.com
United Adult Ministries,Douglas,Kurtz,Flushing,NY,www.unitedadultministries.org
UPMC Senior Communities,Deborah S,Brodine,Pittsburgh,PA,www.upmcseniorcommunities.com
Urbek,Gilbert,Till,,,
"USA Properties Fund, Inc.",Geoffrey C,Brown,Roseville,CA,www.usapropfund.com
Validus Senior Living,Steve,Benjamin,Tampa,FL,www.validusseniorliving.com
Varsity,Jackie,Stone,Lemoyne,PA,www.varsitybranding.com
"Wakefield Capital Management, Inc.",Edward P,"Nordberg, Jr",Chevy Chase,MD,www.wakefieldcapital.com
Waypoint Residential,Juan,Dominguez,,,
"WDG Architecture, PLLC",David,"Banta,",Washington,DC,www.wdgarch.com
"Wedgwood Investment Group, LLC",Rudy,Trebels,,,www.wedgewoodllc.com
"Wegman Companies, Inc.",Edwin,Jay,,,www.wegmancompanies.com
"Weis Builders, Inc.",Erik,Weis,Minneapolis,MN,
Westminster Communities of Florida,Roger A,Stevens,Orlando,FL,www.westminsterretirement.com
"Westmont Living, Inc.",Andrew S,Plant,La Jolla,CA,www.westmontliving.com
Wexford Capital,Philip,Braunstein,,,
White Construction Company,William,G,,,www.whiteconst.com
"Whiting-Turner Contracting Company, The",Brendan,Baloh,Towson,MD,www.whiting-turner.com
Williams Mullen,Kiki E,Carleton,Virginia Beach,VA,www.williamsmullen.com
Willow Valley Living,John,Swanson,,,www.willowvalleycommunities.com
WSH Management,Anthony,Sandoval,Irvine,CA,www.wshousing.com
